epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.943,1.68484,2.98616,2.41009,0.69387,0.65961,0.73801,0.4167,1.41282,2.32526,2.41696,0.0856,0.0016,0.0016
2,53.8488,1.6003,1.80827,2.13811,0.8493,0.80835,0.89429,0.53088,1.3344,1.93416,2.14221,0.0701366,0.00313665,0.00313665
3,81.4287,1.60476,1.74568,2.09583,0.82275,0.83551,0.90892,0.5226,1.40928,1.38162,2.18545,0.054505,0.004505,0.004505
4,104.706,1.49887,1.71114,1.9397,0.74293,0.86611,0.88404,0.49204,1.48521,3.84522,2.17787,0.038705,0.00570505,0.00570505
5,140.556,1.41618,1.71479,1.84565,0.67337,0.70561,0.77655,0.46739,1.39637,1.63219,2.06848,0.0227368,0.0067368,0.0067368
6,175.713,1.46913,1.54824,1.80971,0.83442,0.84896,0.92065,0.57068,1.30195,1.23943,1.96762,0.007525,0.007525,0.007525
7,218.564,1.41768,1.55261,1.7048,0.68498,0.86636,0.93891,0.56441,1.38533,2.37919,2.05144,0.00703,0.00703,0.00703
8,254.197,1.39893,1.77648,1.76311,0.85673,0.91346,0.94075,0.57588,1.40304,1.1705,2.1034,0.006535,0.006535,0.006535
9,294.512,1.43553,1.3174,1.71398,0.85989,0.91848,0.94243,0.60573,1.25072,1.44418,1.88182,0.00604,0.00604,0.00604
10,345.92,1.37906,1.12544,1.71536,0.98305,0.85886,0.95258,0.60863,1.24888,0.97818,1.86325,0.005545,0.005545,0.005545
11,396.83,1.27028,1.02443,1.73275,0.96635,0.91956,0.96949,0.61713,1.25545,0.86283,1.87715,0.00505,0.00505,0.00505
12,444.371,1.35592,1.07463,1.81269,1,0.88088,0.96379,0.61403,1.22827,0.7588,1.85555,0.004555,0.004555,0.004555
13,471.459,1.26407,0.87883,1.74203,0.99601,0.91459,0.96802,0.64975,1.18719,0.6884,1.78616,0.00406,0.00406,0.00406
14,498.566,1.20053,0.77426,1.72407,0.96206,0.92304,0.96561,0.63832,1.1981,0.70264,1.7831,0.003565,0.003565,0.003565
15,529.218,1.24773,0.7359,1.70181,0.98242,0.89989,0.96718,0.6877,1.03189,0.66597,1.67988,0.00307,0.00307,0.00307
16,575.892,1.06011,0.68685,1.59537,0.94513,0.95652,0.97073,0.68821,0.9964,0.62245,1.65816,0.002575,0.002575,0.002575
17,606.015,1.15397,0.67664,1.69609,0.95037,0.97732,0.97365,0.67932,1.0915,0.61394,1.73563,0.00208,0.00208,0.00208
18,639.094,1.08641,0.66487,1.55297,0.96152,0.97826,0.9747,0.69465,0.97159,0.57663,1.61878,0.001585,0.001585,0.001585
19,687.214,1.02408,0.64156,1.5909,0.97394,0.9651,0.97486,0.6999,0.95415,0.55903,1.60416,0.00109,0.00109,0.00109
20,726.731,1.11475,0.65343,1.66002,0.97675,0.9651,0.97375,0.70477,0.95732,0.53586,1.60746,0.000595,0.000595,0.000595
